Player,Nation,Club_actual,all_clubs
Ismael Aaneba,fr,Strasbourg,"['Strasbourg', 'Sochaux']"
Patrick van Aanholt,nl,Crystal Palace,"['Leicester City', 'Wigan Athletic', 'Coventry City', 'Chelsea', 'Sunderland', 'Crystal Palace', 'Vitesse', 'Galatasaray', 'Newcastle Utd']"
Issah Abbas,gh,Mainz 05,"['Twente', 'Mainz 05', 'Rijeka', 'Utrecht', 'Jong Utrecht']"
Yunis Abdelhamid,ma,Reims,"['Reims', 'Valenciennes', 'Arles-Avignon', 'Dijon']"
Sabit Abdulai,gh,Getafe,"['Extremadura', 'Getafe']"
Mehdi Abeid,dz,Nantes,"['Nantes', 'Panathinaikos', 'Newcastle Utd', 'Dijon', 'St Johnstone']"
Laurent Abergel,fr,Lorient,"['Nancy', 'Marseille', 'Lorient', 'Ajaccio']"
Charles Abi,fr,Saint-Étienne,"['Saint-Étienne', 'Guingamp']"
Matthis Abline,fr,Rennes,"['Rennes', 'Le Havre']"
Pape Abou Cisse,sn,Saint-Étienne,"['Saint-Étienne', 'Olympiacos', 'Ajaccio']"
David Abraham,ar,Eint Frankfurt,"['Basel', 'Getafe', 'Gimnàstic', 'Hoffenheim', 'Eint Frankfurt']"
Tammy Abraham,en,Chelsea,"['Chelsea', 'Bristol City', 'Roma', 'Aston Villa', 'Swansea City']"
Amir Abrashi,al,Freiburg,"['Freiburg', 'Grasshopper', 'Basel']"
Gennaro Acampora,it,Spezia,"['Benevento', 'Virtus Entella', 'Spezia', 'Perugia']"
Francesco Acerbi,it,Lazio,"['Lazio', 'Sassuolo', 'Reggina', 'Chievo', 'Milan']"
Ragnar Ache,de,Eint Frankfurt,"['Eint Frankfurt', 'dam""]', ' ""Sparta R']"
Marcos Acuña,ar,Sevilla,"['Sevilla', 'Sporting CP', 'Racing Club']"
Che Adams,sc,Southampton,"['Sheffield Utd', 'Southampton', 'Birmingham City']"
Tyler Adams,us,RB Leipzig,"['RB Leipzig', 'NY Red Bulls', 'Red Bulls II']"
Sargis Adamyan,am,Hoffenheim,"['burg""]', 'Hansa Rostock', 'Hoffenheim', ' ""Jahn R', 'Club Brugge']"
Tosin Adarabioyo,en,Fulham,"['Manchester City', 'Blackburn', 'Fulham', 'West Brom']"
Bobby Adekanye,nl,Cádiz,"['Crotone', 'Lazio', 'Liverpool', 'Cádiz', 'ADO Den Haag']"
Yacine Adli,fr,Bordeaux,"['Paris S-G', 'Bordeaux']"
Andrea Adorante,it,Parma,['Parma']
Adrián,es,Liverpool,"['Betis', 'Liverpool', 'West Ham']"
Martin Agirregabiria,es,Alavés,['Alavés']
Lucien Agoume,fr,Spezia,"['Inter', 'Spezia', 'Sochaux', 'Brest']"
Felix Agu,de,Werder Bremen,"['Osnabrück U19', 'Werder Bremen', 'Osnabrück']"
Kevin Agudelo,co,Spezia,"['Spezia', 'Genoa', 'Fiorentina', 'Huila']"
Nayef Aguerd,ma,Rennes,"['Rennes', 'Dijon']"
Sergio Agüero,ar,Manchester City,"['Atlético Madrid', 'Manchester City', 'Barcelona']"
Ruben Aguilar,fr,Monaco,"['Monaco', 'Montpellier', 'Auxerre']"
Naouirou Ahamada,fr,Stuttgart,['Stuttgart']
Matteo Ahlinvi,bj,Nîmes,"['Guingamp', 'Nîmes', 'Dijon']"
Cheikh Ahmadou Dieng,sn,Marseille,['Marseille']
Jean-Eudes Aholou,ci,Strasbourg,"['Strasbourg', 'Orléans', 'Monaco', 'Saint-Étienne', 'Lille']"
Joseph Aidoo,gh,Monaco,"['Hammarby', 'Genk', 'Monaco', 'Celta Vigo']"
