Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,shot_PassLive,shot_PassDead,shot_Drib,shot_Sh,shot_Fld,shot_Def,GCA,GCA90,goal_PassLive,goal_PassDead,goal_Drib,goal_Sh,goal_Fld,goal_Def,Matches,test
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1.19,1.19,0.84,0.06,0.09,0.13,0.06,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,0.63,0.63,0.42,0.00,0.09,0.03,0.00,0.09,0.03,0.03,0.00,0.00,0.03,0.00,0.00,0.00,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1.46,1.46,1.09,0.00,0.00,0.15,0.15,0.07,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,2.01,2.01,1.49,0.06,0.03,0.03,0.21,0.18,0.15,0.15,0.12,0.00,0.00,0.00,0.03,0.00,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,2.47,2.48,1.48,0.00,0.00,0.12,0.25,0.62,0.25,0.25,0.12,0.00,0.00,0.12,0.00,0.00,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0.91,0.87,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,2.33,2.33,1.63,0.03,0.03,0.38,0.17,0.09,0.35,0.35,0.15,0.00,0.03,0.09,0.09,0.00,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0.48,0.48,0.16,0.00,0.00,0.32,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.16,0.00,0.00,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.64,0.64,0.50,0.04,0.00,0.04,0.07,0.00,0.07,0.07,0.04,0.00,0.00,0.00,0.04,0.00,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,1.72,1.74,1.03,0.00,0.34,0.34,0.00,0.00,0.34,0.35,0.00,0.00,0.00,0.34,0.00,0.00,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,2.63,2.63,1.67,0.64,0.04,0.12,0.16,0.00,0.12,0.12,0.04,0.08,0.00,0.00,0.00,0.00,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,2.25,2.25,1.50,0.00,0.04,0.18,0.48,0.04,0.18,0.18,0.13,0.00,0.00,0.00,0.00,0.04,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,1.67,1.67,1.53,0.00,0.07,0.07,0.00,0.00,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,2.97,2.99,2.16,0.00,0.54,0.00,0.00,0.27,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,2.05,2.05,1.79,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,3.36,3.37,2.21,0.07,0.21,0.29,0.29,0.29,0.50,0.50,0.36,0.00,0.00,0.07,0.07,0.00,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,4.10,4.10,2.67,0.80,0.16,0.12,0.24,0.12,0.52,0.52,0.40,0.08,0.00,0.00,0.04,0.00,Matches,26777636
