Player,Nation,UrlFBref,TmPos,clubes
Max Aarons,en,https://fbref.com/en/players/774cf58b/Max-Aarons,Right-Back,['Norwich City']
Yunis Abdelhamid,ma,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,Centre-Back,['Arles-Avignon' 'Valenciennes' 'Dijon' 'Reims']
Salis Abdul Samed,gh,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,Defensive Midfield,['Clermont Foot']
Laurent Abergel,fr,https://fbref.com/en/players/31626657/Laurent-Abergel,Defensive Midfield,['Marseille' 'Ajaccio' 'Nancy' 'Lorient']
Charles Abi,fr,https://fbref.com/en/players/469d3d84/Charles-Abi,Centre-Forward,['Saint-Étienne' 'Guingamp']
Dickson Abiama,ng,https://fbref.com/en/players/cadd666a/Dickson-Abiama,Centre-Forward,['Greuther Fürth']
Matthis Abline,fr,https://fbref.com/en/players/bbe96b16/Matthis-Abline,Centre-Forward,['Le Havre' 'Rennes']
Matthis Abline,fr,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,Centre-Forward,['Rennes' 'Le Havre']
Tammy Abraham,en,https://fbref.com/en/players/f586779e/Tammy-Abraham,Centre-Forward,['Chelsea' 'Bristol City' 'Swansea City' 'Aston Villa' 'Roma']
Luis Abram,pe,https://fbref.com/en/players/1f462f95/Luis-Abram,Centre-Back,['Sporting Cristal' 'Vélez Sarsf' 'Granada' 'Cruz Azul']
Francesco Acerbi,it,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,Centre-Back,['Reggina' 'Chievo' 'Milan' 'Sassuolo' 'Lazio']
Ragnar Ache,de,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,Centre-Forward,"[""Sparta R'dam"" 'Eint Frankfurt']"
Mohamed Achi,fr,,,['Nantes']
Marcos Acuña,ar,https://fbref.com/en/players/81442ecb/Marcos-Acuna,Left-Back,['Racing Club' 'Sporting CP' 'Sevilla']
Che Adams,sc,https://fbref.com/en/players/f2bf1b0f/Che-Adams,Centre-Forward,['Sheffield Utd' 'Birmingham City' 'Southampton']
Tyler Adams,us,https://fbref.com/en/players/2b09d998/Tyler-Adams,Defensive Midfield,['Red Bulls II' 'NY Red Bulls' 'RB Leipzig']
Sargis Adamyan,am,https://fbref.com/en/players/22919e97/Sargis-Adamyan,Centre-Forward,"['Hansa Rostock' ""Jahn R'burg"" 'Hoffenheim' 'Club Brugge']"
Martin Adeline,fr,https://fbref.com/en/players/7587446d/Martin-Adeline,Central Midfield,['Reims']
Amine Adli,fr,https://fbref.com/en/players/dcfb17f4/Amine-Adli,Second Striker,['Leverkusen' 'Toulouse']
Yacine Adli,fr,https://fbref.com/en/players/26777636/Yacine-Adli,Attacking Midfield,['Bordeaux' 'Paris S-G']
Michel Aebischer,ch,https://fbref.com/en/players/f9c927de/Michel-Aebischer,Central Midfield,['Young Boys' 'Bologna']
Felix Afena-Gyan,gh,https://fbref.com/en/players/0154d290/Felix-Afena-Gyan,Centre-Forward,['Roma']
Martin Agirregabiria,es,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,Right-Back,['Alavés']
Lucien Agoume,fr,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,Defensive Midfield,['Sochaux' 'Inter' 'Spezia' 'Brest']
Kevin Agudelo,co,https://fbref.com/en/players/46fa7204/Kevin-Agudelo,Right Winger,['Huila' 'Fiorentina' 'Genoa' 'Spezia']
Nayef Aguerd,ma,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,Centre-Back,['Dijon' 'Rennes']
Sergio Agüero,ar,https://fbref.com/en/players/4d034881/Sergio-Aguero,Centre-Forward,['Atlético Madrid' 'Manchester City' 'Barcelona']
Ruben Aguilar,fr,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,Right-Back,['Auxerre' 'Montpellier' 'Monaco']
Álvaro Aguirre,es,https://fbref.com/en/players/93b054dc/Alvaro-Aguirre,Left Winger,['Rayo Vallecano']
Naouirou Ahamada,fr,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,Defensive Midfield,['Stuttgart']
Anel Ahmedhodzic,ba,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,Centre-Back,"[""Nott'ham Forest"" 'Malmö' 'Hobro' 'Bordeaux']"
Jean-Eudes Aholou,ci,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,Defensive Midfield,['Lille' 'Orléans' 'Strasbourg' 'Monaco' 'Saint-Étienne']
Joseph Aidoo,gh,https://fbref.com/en/players/18abe173/Joseph-Aidoo,Centre-Back,['Hammarby' 'Genk' 'Celta Vigo']
Ola Aina,ng,https://fbref.com/en/players/246d153b/Ola-Aina,Right-Back,['Chelsea' 'Hull City' 'Torino' 'Fulham']
Rayan Aït Nouri,fr,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,Left-Back,['Angers' 'Wolves']
Kristoffer Ajer,no,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,Centre-Back,['Brentford' 'Celtic' 'Kilmarnock' 'Start']
Ludovic Ajorque,re,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,Centre-Forward,['Clermont Foot' 'Strasbourg']
Manuel Akanji,ch,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,Centre-Back,['Basel' 'Dortmund']
Carlos Akapo,gq,https://fbref.com/en/players/f2a68b97/Carlos-Akapo,Right-Back,['Numancia' 'Huesca' 'Cádiz']
Marley Aké,fr,https://fbref.com/en/players/414e1f69/Marley-Ake,Left Winger,['Marseille' 'Juventus']
Nathan Aké,nl,https://fbref.com/en/players/eaeca114/Nathan-Ake,Centre-Back,['Bournemouth' 'Chelsea' 'Manchester City' 'Reading' 'Watford']
Ilias Akhomach,es,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,Right Winger,['Barcelona']
Maghnes Akliouche,fr,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,Attacking Midfield,['Monaco']
Paul Akouokou,ci,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,Central Midfield,['Betis']
Jean-Daniel Akpa-Akpro,ci,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,Central Midfield,['Toulouse' 'Salernitana' 'Lazio']
Kevin Akpoguma,ng,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,Centre-Back,['Düsseldorf' 'Hannover 96' 'Hoffenheim' 'Karlsruher']
David Alaba,at,https://fbref.com/en/players/05439de2/David-Alaba,Centre-Back,['Bayern Munich' 'Bayern Munich II' 'Hoffenheim' 'Real Madrid']
Sofiane Alakouch,ma,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,Right-Back,['Nîmes' 'Lausanne-Sport' 'Metz']
Tomás Alarcón,cl,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon,Defensive Midfield,"[""O'Higgins"" 'Cádiz']"
Lucas Alario,ar,https://fbref.com/en/players/834d0be5/Lucas-Alario,Centre-Forward,['Colón' 'River Plate' 'Leverkusen']
Jordi Alba,es,https://fbref.com/en/players/4601e194/Jordi-Alba,Left-Back,['Gimnàstic' 'Valencia' 'Barcelona']
Josué Albert,gf,https://fbref.com/en/players/3d738df0/Josue-Albert,Centre-Back,['Quevilly-Rouen' 'Clermont Foot']
Luis Alberto,es,https://fbref.com/en/players/5294a83f/Luis-Alberto,Central Midfield,['Sevilla' 'Barcelona B' 'Liverpool' 'Málaga' 'La Coruña' 'Lazio']
