,Player,Nation,Squad,Rating,user,player,rating
2763,Mathias Jørgensen,dk,Brentford,2.5450236966824646,41,1142,2.5450237
3758,Arkadiusz Milik,pl,Marseille,2.2030075187969924,3,1541,2.2030075
1652,Jodel Dossou,bj,Clermont Foot,2.3694581280788176,2,660,2.3694582
3872,Manu Morlanes,es,Espanyol,2.9279661016949152,83,1592,2.927966
5143,Xherdan Shaqiri,ch,Liverpool,3.021333333333333,53,2117,3.0213332
3039,Max Kruse,de,Union Berlin,2.772532188841202,75,1248,2.7725322
2683,Jason,es,Valencia,3.227722772277228,52,1098,3.227723
3119,Sam Lammers,nl,Eint Frankfurt,2.1943462897526502,61,1273,2.1943462
4295,Pietro Pellegri,it,Milan,1.9612676056338028,12,1787,1.9612676
263,Pierre-Emerick Aubameyang,ga,Monaco,1.954983922829582,32,126,1.954984
1912,Phil Foden,en,Manchester City,3.4251497005988023,29,776,3.4251497
3250,Jürgen Locadia,nl,Hoffenheim,1.5205992509363295,48,1330,1.5205992
681,Kevin Bonifazi,it,Bologna,2.6528301886792454,21,302,2.6528301
1670,Radu Drăgușin,ro,Salernitana,2.24,47,669,2.24
1073,Calum Chambers,en,Southampton,2.25,16,445,2.25
5910,Silvan Widmer,ch,Udinese,2.729957805907173,59,2441,2.7299578
4874,Fabián Ruiz Peña,es,Napoli,3.694189602446483,55,2001,3.6941895
3116,Sam Lammers,nl,Atalanta,2.2206405693950177,95,1273,2.2206407
1209,Maxwel Cornet,ci,Metz,2.4894736842105263,51,500,2.4894736
1253,Philippe Coutinho,br,Liverpool,3.3973333333333335,53,514,3.3973334
5214,Daley Sinkgraven,nl,Leverkusen,2.4785714285714286,18,2147,2.4785714
3038,Max Kruse,de,Union Berlin,2.763948497854077,75,1248,2.7639484
4589,Rafinha,br,Inter,3.2253086419753085,23,1897,3.2253087
5313,Niklas Stark,de,Hertha BSC,2.2690582959641254,58,2193,2.2690582
3658,Ibrahima Mbaye,sn,Bologna,2.249056603773585,21,1479,2.2490566
2432,Dominique Heintz,de,Freiburg,2.148325358851675,96,990,2.1483254
3404,Kévin Malcuit,ma,Lille,2.511627906976744,35,1395,2.511628
5679,Jere Uronen,fi,Brest,2.4355555555555557,25,2348,2.4355555
2441,Benjamin Henrichs,de,Monaco,3.3215434083601285,32,994,3.3215435
2669,Paweł Jaroszyński,pl,Salernitana,2.3533333333333335,47,1097,2.3533332
472,Valon Behrami,ch,Watford,1.9794871794871796,45,220,1.9794872
2404,Kortney Hause,en,Aston Villa,2.0597826086956523,9,982,2.0597825
561,Rodrigo Bentancur,uy,Juventus,3.04014598540146,44,251,3.0401459
1128,Pathé Ciss,sn,Rayo Vallecano,2.6653225806451615,33,470,2.6653225
800,Dan Burn,en,Brighton,1.9079497907949792,66,350,1.9079498
3585,Omar Mascarell,es,Elche,2.221052631578947,91,1454,2.2210526
3334,Levi Lumeka,en,Crystal Palace,1.852813852813853,73,1365,1.8528138
79,Raúl Albiol,es,Real Madrid,2.324712643678161,50,48,2.3247128
3800,Anthony Modeste,fr,Bordeaux,1.8396946564885497,19,1564,1.8396946
1695,Shane Duffy,ie,Brighton,2.6150627615062763,66,678,2.6150627
5043,Martin Satriano,it,Inter,1.6450617283950617,23,2071,1.6450617
