,Player,Squad,Rating,user,player,rating
5974,Chem Campbell,Wolves,2.3886925795053005,74,2426,2.3886926
2302,Samuel Di Carmine,Fiorentina,1.4823529411764707,53,966,1.482353
2477,Felipe Caicedo,Genoa,2.191358024691358,51,849,2.191358
3246,Patrick Herrmann,M'Gladbach,2.966542750929368,111,1343,2.9665427
3135,Terem Moffi,Lorient,2.2538860103626943,36,1305,2.253886
1600,Jens Petter Hauge,Eint Frankfurt,2.5113636363636362,13,688,2.5113637
2318,Giangiacomo Magnani,Sassuolo,2.0853658536585367,78,972,2.0853658
2886,Martín Cáceres,Fiorentina,2.1098039215686275,53,532,2.109804
1480,Akim Zedadka,Lens,2.8956521739130436,37,626,2.895652
5710,Jean-Pierre Nsame,Angers,1.824468085106383,27,2325,1.8244681
3745,Aurélien Tchouaméni,Real Madrid,3.315625,11,1552,3.315625
4762,Andrea Schiavone,Salernitana,2.6490066225165565,82,1991,2.6490066
2753,Joe Gelhardt,Leeds United,2.297560975609756,61,1132,2.297561
5746,Boulaye Dia,Villarreal,2.4324324324324325,15,2341,2.4324324
4712,Luka Bogdan,Salernitana,1.8741721854304636,82,1964,1.8741722
5942,Lukas Nmecha,Wolfsburg,2.7399103139013454,55,2413,2.7399104
4505,Benjamin Bourigeaud,Lens,3.282608695652174,37,1888,3.2826087
5169,Marc-Oliver Kempf,Stuttgart,1.9912280701754386,49,993,1.9912281
1452,Johan Gastien,Brest,3.236607142857143,16,611,3.236607
6167,Bruno Tabata,Sporting CP,3.7353846153846155,63,2484,3.7353847
5509,Marvin Friedrich,M'Gladbach,2.308550185873606,111,1341,2.3085501
1192,Anthony Lozano,Cádiz,2.152317880794702,26,518,2.1523178
6723,Adrián Butzke,Granada,1.025,18,910,1.025
3625,Warren Tchimbembé,Metz,2.0677083333333335,45,1503,2.0677083
996,Dominic Thompson,Brentford,1.553191489361702,76,427,1.5531915
1330,Iago Aspas,Sevilla,3.05078125,85,560,3.0507812
4456,Mathieu Cafaro,Saint-Étienne,2.3485714285714288,44,1856,2.3485715
6108,Paulinho,Braga,2.9904761904761905,22,1235,2.9904761
4725,Federico Fazio,Sevilla,2.31640625,85,1972,2.3164062
561,Pierre-Emerick Aubameyang,Arsenal,2.078189300411523,56,79,2.0781894
2087,Carles Aleñá,Getafe,2.5027932960893855,8,879,2.5027933
2833,Charles Boli,Lens,2.1695652173913045,37,1172,2.1695652
5229,Armando Izzo,Torino,2.4903846153846154,83,2172,2.4903846
6394,João Caiado,Wolves,1.0494699646643109,74,2577,1.04947
3425,Ferrán Torres,Manchester City,2.247588424437299,4,257,2.2475884
2921,Shkodran Mustafi,Arsenal,2.2222222222222223,56,1210,2.2222223
1199,Álvaro Negredo,Cádiz,2.251655629139073,26,521,2.2516556
4615,Carles Pérez,Celta Vigo,2.824884792626728,10,1918,2.824885
169,Pierre-Emerick Aubameyang,Monaco,1.8945454545454545,42,79,1.8945454
625,Ferrán Torres,Valencia,2.5,9,257,2.5
5582,Hugo Duro,Getafe,1.893854748603352,8,886,1.8938547
6150,Marcus Edwards,Vitória,3.1266968325791855,105,2483,3.1266968
1765,Javi Puado,Espanyol,2.2051282051282053,2,763,2.2051282
4397,Jon Bautista,Real Sociedad,2.210727969348659,28,1822,2.210728
1599,Jens Petter Hauge,Milan,2.520754716981132,95,688,2.5207548
2057,Goran Pandev,Inter,1.9470404984423677,64,868,1.9470406
5844,Danny Rose,Watford,2.7027027027027026,75,2375,2.7027028
4899,Edoardo Goldaniga,Cagliari,2.4607329842931938,81,541,2.460733
4649,Ryad Boudebouz,Saint-Étienne,3.165714285714286,44,1933,3.1657143
3209,Lucas Paquetá,Milan,3.5924528301886793,95,1330,3.5924528
3269,Jean-Paul Boëtius,Mainz 05,3.142857142857143,41,1358,3.142857
5010,Che Adams,Southampton,2.468421052631579,33,2063,2.468421
812,Ebenezer Annan,Bologna,1.676991150442478,66,340,1.6769911
5623,Ilaix Moriba,RB Leipzig,2.403636363636364,62,1783,2.4036365
6315,Miguel Falé,Braga,2.4523809523809526,22,2543,2.452381
4607,Sérgio Oliveira,Porto,3.3220338983050848,24,1916,3.322034
5491,Brandon Soppy,Udinese,2.2531645569620253,40,2255,2.2531645
429,Yannick Carrasco,Monaco,3.1454545454545455,42,180,3.1454546
6227,Paulo Bernardo,Benfica,2.993355481727575,65,2509,2.9933555
2716,Vedat Muriqi,Lazio,1.8869257950530036,3,1117,1.8869258
5414,Lebo Mothiba,Strasbourg,2.236607142857143,30,2129,2.236607
6012,Daniel Podence,Sporting CP,2.996923076923077,63,2441,2.996923
5812,Dan Gosling,Everton,2.3987730061349692,73,2367,2.398773
3715,Cesc Fàbregas,Barcelona,2.9577464788732395,70,1538,2.9577465
6071,Sérgio Oliveira,Paços,3.576530612244898,108,1916,3.5765307
5798,Manu Trigueros,Villarreal,3.250965250965251,15,2358,3.2509654
1005,Lucien Agoume,Troyes,2.5093167701863353,35,431,2.5093167
3767,Valère Germain,Monaco,1.9345454545454546,42,1563,1.9345454
6812,Henrique Jocú,Portimonense,2.115606936416185,112,2773,2.115607
1193,José Mari,Levante,2.6893203883495147,7,519,2.6893203
1108,Danny Welbeck,Arsenal,2.2222222222222223,56,477,2.2222223
1261,Diego Farias,Sassuolo,2.178861788617886,78,538,2.1788619
101,Enzo Ebosse,Angers,2.1702127659574466,27,40,2.1702127
2024,Francesco Cassata,Sassuolo,1.2195121951219512,78,852,1.2195122
4815,Alex Ferrari,Hellas Verona,2.3194444444444446,80,2004,2.3194444
5708,Nani,Valencia,2.075,9,2324,2.075
1744,Miguel Juan Llambrich,Espanyol,2.128205128205128,2,754,2.128205
3574,Farid Boulaya,Metz,2.6614583333333335,45,1476,2.6614583
5488,Samir Santos,Watford,2.151351351351351,75,2254,2.1513515
1158,Chris Wood,Leicester City,1.7541666666666667,107,497,1.7541667
2890,Martín Cáceres,Cagliari,2.0837696335078535,81,532,2.0837696
756,Víctor Ruiz,Espanyol,2.2735042735042734,2,311,2.2735043
3127,Théo Le Bris,Lorient,1.9585492227979275,36,1299,1.9585493
4180,Arnaud Kalimuendo,Lens,1.7695652173913043,37,1186,1.7695652
4303,Lukas Klostermann,RB Leipzig,2.5272727272727273,62,1781,2.5272727
