Player,Squad,Rating,user,player,rating,Nation
Chem Campbell,Wolves,2.3886925795053005,74,2426,2.3886926,wl
Samuel Di Carmine,Fiorentina,1.4823529411764709,53,966,1.482353,it
Felipe Caicedo,Genoa,2.1913580246913584,51,849,2.191358,ec
Felipe Caicedo,Genoa,2.1913580246913584,51,849,2.191358,ec
Patrick Herrmann,M'Gladbach,2.966542750929368,111,1343,2.9665427,de
Terem Moffi,Lorient,2.2538860103626943,36,1305,2.253886,ng
Jens Petter Hauge,Eint Frankfurt,2.511363636363636,13,688,2.5113637000000004,no
Giangiacomo Magnani,Sassuolo,2.0853658536585367,78,972,2.0853658,it
Giangiacomo Magnani,Sassuolo,2.0853658536585367,78,972,2.0853658,it
Martín Cáceres,Fiorentina,2.1098039215686275,53,532,2.109804,uy
Martín Cáceres,Fiorentina,2.1098039215686275,53,532,2.109804,uy
Akim Zedadka,Lens,2.895652173913044,37,626,2.895652,dz
Jean-Pierre Nsame,Angers,1.824468085106383,27,2325,1.8244681,cm
Aurélien Tchouaméni,Real Madrid,3.315625,11,1552,3.315625,fr
Andrea Schiavone,Salernitana,2.6490066225165565,82,1991,2.6490066000000003,it
Joe Gelhardt,Leeds United,2.297560975609756,61,1132,2.297561,en
Boulaye Dia,Villarreal,2.4324324324324325,15,2341,2.4324324,sn
Luka Bogdan,Salernitana,1.874172185430464,82,1964,1.8741721999999998,hr
Lukas Nmecha,Wolfsburg,2.739910313901345,55,2413,2.7399104,de
Benjamin Bourigeaud,Lens,3.282608695652174,37,1888,3.2826087,fr
Marc-Oliver Kempf,Stuttgart,1.9912280701754383,49,993,1.9912281000000003,de
Marc-Oliver Kempf,Stuttgart,1.9912280701754383,49,993,1.9912281000000003,de
Johan Gastien,Brest,3.2366071428571432,16,611,3.236607,fr
Bruno Tabata,Sporting CP,3.735384615384616,63,2484,3.7353847,0
Marvin Friedrich,M'Gladbach,2.3085501858736057,111,1341,2.3085501,de
Marvin Friedrich,M'Gladbach,2.3085501858736057,111,1341,2.3085501,de
Anthony Lozano,Cádiz,2.1523178807947017,26,518,2.1523178,hn
Adrián Butzke,Granada,1.025,18,910,1.025,es
Adrián Butzke,Granada,1.025,18,910,1.025,es
