Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Ttl,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Attpt,Dribbles_Succ%,Dribbles_#Pl,Megs,Numb_Ctrls,TotDist_Poss,PrgDist_Poss,Prog,1/3,CPA,Miss_Poss,Tackled,Targ_Pass,Succ_RecPass,Succ_RecPass%,Prog_Pass,Matches,test
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,58.0,5.06,23.3,23.8,15.0,0.91,47.8,1.03,2.44,42.3,1.09,0.19,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,36.0,32.4,89.9,1.28,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,57.3,8.28,32.8,25.7,2.90,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0.00,0.45,0.39,37.5,36.3,96.9,0.36,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,70.4,2.01,22.7,41.8,10.9,0.62,69.9,0.99,1.53,64.3,1.09,0.07,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,58.6,54.2,92.5,1.72,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,61.6,0.67,13.7,40.3,11.6,0.46,60.9,1.28,1.98,64.6,1.34,0.09,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,46.3,43.0,93.0,1.86,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,24.0,0.00,0.00,10.0,18.0,6.00,24.0,0.00,0.00,,0.00,0.00,18.0,118.0,18.0,0.00,2.00,0.00,8.00,0.00,24.0,16.0,66.7,4.00,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,33.0,1.11,3.46,15.6,15.6,3.83,31.9,0.74,2.22,33.3,0.86,0.12,19.0,74.7,40.2,2.59,0.99,0.86,5.06,1.36,41.4,21.1,51.0,5.93,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,22.7,1.82,1.82,10.0,10.9,2.73,22.7,0.91,1.82,50.0,0.91,0.00,16.4,61.8,31.8,2.73,0.00,0.00,1.82,4.55,35.5,11.8,33.3,7.27,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,32.4,0.96,2.54,16.3,15.2,5.86,30.4,1.08,2.22,48.7,1.14,0.09,18.0,76.8,39.4,2.45,0.82,0.67,2.39,1.28,41.2,22.4,54.3,6.71,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,46.8,10.2,30.0,18.2,1.13,0.81,45.5,0.00,0.00,,0.00,0.00,25.2,129.5,77.1,1.13,0.00,0.00,0.32,0.00,30.2,29.4,97.3,0.16,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,80.2,12.3,42.0,41.4,2.30,0.78,77.9,0.11,0.14,75.0,0.11,0.00,52.4,284.8,161.6,3.48,0.71,0.00,0.28,0.11,58.8,57.8,98.3,0.35,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,44.8,0.34,2.76,20.3,24.8,6.21,44.5,1.38,2.76,50.0,1.72,0.00,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,57.2,34.8,60.8,10.7,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,50.0,0.00,10.0,30.0,20.0,0.00,50.0,0.00,0.00,,0.00,0.00,40.0,170.0,100.0,10.0,10.0,0.00,0.00,0.00,50.0,40.0,80.0,10.0,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,88.0,2.75,27.5,41.3,25.6,0.92,75.6,1.79,2.59,69.2,1.91,0.12,59.4,293.0,178.3,6.37,2.03,0.24,1.04,1.08,62.1,59.2,95.3,2.63,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,33.7,1.19,4.10,14.6,16.5,4.49,33.0,0.62,1.45,42.4,0.75,0.00,20.9,83.0,36.7,2.03,0.75,0.48,2.29,2.11,45.1,23.9,52.9,7.05,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,70.9,1.93,15.2,47.9,12.7,0.80,68.5,0.67,1.13,58.8,0.67,0.00,48.0,229.6,116.7,5.07,1.27,0.20,0.67,1.13,53.5,49.4,92.4,1.20,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,41.4,1.08,7.30,18.1,17.8,3.24,40.0,1.62,2.43,66.7,1.62,0.27,28.1,136.2,55.9,3.24,0.27,0.00,3.24,3.51,41.1,25.9,63.2,6.49,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,50.0,2.31,13.1,23.6,15.6,1.54,48.5,0.77,1.28,60.0,0.77,0.26,31.0,160.3,76.9,2.05,0.26,0.00,2.05,0.77,34.4,27.4,79.9,2.82,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,54.6,0.71,8.93,28.6,20.8,4.79,53.3,1.71,3.21,53.3,1.93,0.07,40.1,224.8,136.9,5.93,1.71,1.36,3.07,2.36,52.4,39.0,74.5,6.57,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,62.0,1.12,11.6,34.3,20.7,2.27,57.2,1.75,3.15,55.7,1.91,0.12,43.2,240.4,124.0,6.14,1.91,0.60,1.83,2.59,50.8,43.6,85.9,3.67,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,57.6,2.65,13.1,32.4,13.7,1.22,54.7,0.20,0.61,33.3,0.20,0.00,38.8,150.0,70.2,2.24,0.20,0.00,0.61,1.43,44.5,40.4,90.8,1.63,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,41.6,0.00,2.97,17.0,25.9,7.03,40.4,1.22,3.11,39.1,1.35,0.14,32.7,159.9,103.9,3.92,2.16,0.95,4.46,4.32,50.3,29.7,59.1,8.92,Matches,0154d290
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,54.2,2.78,16.5,26.6,13.3,0.61,44.3,0.78,1.06,73.7,0.78,0.06,25.9,102.2,61.1,2.61,1.00,0.11,0.56,0.61,30.3,26.1,86.2,1.06,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,23.8,18.8,23.8,0.00,0.00,0.00,15.3,0.00,0.00,,0.00,0.00,9.50,39.8,18.8,0.00,0.00,0.00,0.00,0.00,6.50,6.25,96.2,0.00,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,57.6,2.84,17.9,32.9,10.1,1.68,56.1,0.96,1.39,69.0,1.01,0.10,36.4,173.7,84.4,2.55,0.77,0.19,0.43,1.01,38.1,35.7,93.7,1.44,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,44.1,0.80,6.50,21.9,20.8,3.14,43.2,2.04,3.72,54.9,2.12,0.07,33.1,194.1,114.3,5.55,2.48,1.09,1.53,3.87,36.3,28.1,77.5,4.23,Matches,46fa7204
