Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,test
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,0.00,0.41,0.06,15.4,0.41,0.06,0.00,0.00,20.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,0.06,0.54,0.18,33.3,0.54,0.18,0.11,0.33,18.7,0.00,0.00,0.00,0.04,0.04,0.07,0.02,0.02,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,0.04,0.66,0.18,27.8,0.66,0.18,0.06,0.20,20.3,0.00,0.00,0.00,0.03,0.03,0.04,0.01,0.01,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0.00,0.91,0.21,23.3,0.91,0.21,0.00,0.00,22.6,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0.00,2.22,0.49,22.2,2.23,0.50,0.00,0.00,15.6,0.00,0.00,0.00,0.27,0.27,0.12,-0.27,-0.27,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0.00,1.82,0.00,0.0,1.75,0.00,0.00,,8.6,0.00,0.00,0.00,0.27,0.27,0.17,-0.27,-0.27,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,0.50,2.71,0.93,34.4,2.71,0.93,0.15,0.44,12.2,0.06,0.09,0.09,0.60,0.53,0.20,-0.10,-0.13,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,7.0,0.00,0.00,0.00,0.08,0.08,0.24,-0.08,-0.08,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.14,0.57,0.25,43.8,0.57,0.25,0.25,0.57,9.2,0.00,0.00,0.00,0.08,0.08,0.14,0.06,0.06,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0.00,3.79,0.69,18.2,3.82,0.69,0.00,0.00,15.8,0.00,0.00,0.00,0.17,0.17,0.05,-0.17,-0.17,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,0.04,0.68,0.20,29.4,0.68,0.20,0.06,0.20,22.1,0.04,0.00,0.00,0.06,0.06,0.08,-0.02,-0.02,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0.31,2.16,1.06,49.0,2.16,1.06,0.14,0.29,12.9,0.00,0.00,0.00,0.31,0.31,0.14,-0.00,-0.00,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,0.00,0.13,0.00,0.0,0.13,0.00,0.00,,19.4,0.00,0.00,0.00,0.01,0.01,0.08,-0.01,-0.01,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0.27,0.81,0.54,66.7,0.82,0.54,0.33,0.50,16.7,0.00,0.00,0.00,0.14,0.14,0.17,0.14,0.14,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0.00,1.03,0.26,25.0,1.02,0.26,0.00,0.00,10.8,0.00,0.00,0.00,0.10,0.10,0.11,-0.10,-0.10,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,0.21,2.71,1.36,50.0,2.72,1.36,0.08,0.16,15.3,0.00,0.00,0.00,0.32,0.32,0.12,-0.11,-0.11,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,0.04,1.31,0.60,45.5,1.31,0.60,0.03,0.07,19.9,0.16,0.00,0.00,0.09,0.09,0.07,-0.05,-0.05,Matches,26777636
